Symbol,Price
AAPL,140.08999633789062
MSFT,234.24000549316406
GOOG,99.56999969482422
GOOGL,98.68000030517578
AMZN,114.55999755859375
TSLA,223.07000732421875
UNH,504.8500061035156
JNJ,160.1999969482422
V,183.8300018310547
TSM,69.75
META,133.4499969482422
XOM,101.02999877929688
WMT,128.55999755859375
PG,124.2699966430664
JPM,105.9800033569336
NVDA,120.76000213623047
LLY,326.6600036621094
MA,294.9700012207031
CVX,160.02999877929688
HD,284.32000732421875
BAC,30.75
KO,54.5099983215332
ABBV,138.75999450683594
PFE,42.31999969482422
PEP,161.61000061035156
NVO,104.05999755859375
MRK,87.5999984741211
BABA,81.23999786376953
COST,468.1499938964844
TMO,523.6099853515625
DHR,268.4800109863281
AVGO,460.4800109863281
TM,135.85000610351562
DIS,97.16000366210938
MCD,233.19000244140625
ABT,101.79000091552734
ORCL,63.290000915527344
SHEL,51.970001220703125
ASML,434.260009765625
AZN,55.400001525878906
CSCO,40.27000045776367
VZ,36.849998474121094
TMUS,137.58999633789062
NVS,75.6500015258789
ACN,259.7099914550781
NEE,76.7300033569336
WFC,41.790000915527344
NKE,87.16000366210938
BMY,69.69999694824219
TXN,159.27999877929688
CRM,150.2899932861328
UPS,159.13999938964844
PM,84.6500015258789
CMCSA,29.270000457763672
MS,78.93000030517578
QCOM,120.91000366210938
SCHW,74.30999755859375
LIN,273.20001220703125
ADBE,288.7699890136719
CVS,88.25
COP,118.51000213623047
UNP,195.6199951171875
RY,88.05999755859375
BHP,51.18000030517578
AMGN,229.02999877929688
RTX,84.01000213623047
LOW,197.2100067138672
HON,171.41000366210938
TTE,50.90999984741211
T,14.9399995803833
INTC,25.719999313354492
TD,59.81999969482422
HSBC,26.149999618530273
UL,43.349998474121094
INTU,392.9599914550781
IBM,118.81999969482422
AMD,58.439998626708984
MDT,82.41999816894531
LMT,403.9599914550781
HDB,57.45000076293945
ELV,467.05999755859375
AMT,194.6300048828125
SPGI,304.5299987792969
AXP,139.0
GS,301.0799865722656
EQNR,35.2400016784668
DE,356.1499938964844
NFLX,224.75
PYPL,90.16999816894531
SBUX,87.02999877929688
SNY,38.86000061035156
ADP,227.1199951171875
DEO,167.3000030517578
SAP,84.52999877929688
BUD,45.31999969482422
BLK,550.4000244140625
BP,31.079999923706055
CAT,177.5500030517578
C,42.189998626708984
CI,288.3800048828125
RIO,57.29999923706055
SONY,66.41000366210938
BTI,36.810001373291016
PBR,14.350000381469727
EL,219.77000427246094
JD,49.90999984741211
MDLZ,55.2599983215332
PLD,100.36000061035156
DUK,89.06999969482422
SO,64.12000274658203
GILD,64.29000091552734
SYK,208.52000427246094
BA,129.7899932861328
ENB,37.04999923706055
NOW,401.2099914550781
REGN,722.3699951171875
PDD,63.560001373291016
CNI,109.77999877929688
MMC,152.19000244140625
CB,184.67999267578125
MO,42.81999969482422
IBN,21.06999969482422
NOC,496.0899963378906
ADI,144.9199981689453
VRTX,295.2300109863281
AMAT,82.5999984741211
BAM,40.41999816894531
TJX,64.58999633789062
PGR,121.95999908447266
GE,64.55999755859375
ZTS,147.3699951171875
TGT,152.33999633789062
INFY,17.059999465942383
WM,155.24000549316406
ISRG,188.67999267578125
BDX,222.6699981689453
CCI,134.35000610351562
BKNG,1685.1600341796875
CHTR,312.5299987792969
CP,68.7300033569336
CME,169.9199981689453
D,64.38999938964844
EOG,127.44999694824219
CL,68.98999786376953
FISV,98.69999694824219
USB,40.20000076293945
MMM,107.5199966430664
PNC,151.33999633789062
VALE,14.420000076293945
HUM,503.4599914550781
BX,86.37999725341797
GD,223.67999267578125
BNS,47.18000030517578
ABNB,108.54000091552734
BMO,85.81999969482422
MUFG,4.460000038146973
GSK,30.110000610351562
CSX,26.770000457763672
TFC,43.529998779296875
ATVI,73.3499984741211
ITW,187.41000366210938
AON,273.1099853515625
BSX,39.7599983215332
AMX,16.299999237060547
TEAM,228.24000549316406
MU,52.90999984741211
SNOW,175.10000610351562
UBER,28.06999969482422
AMOV,16.329999923706055
HCA,200.4600067138672
SHW,205.60000610351562
OXY,69.80000305175781
DG,239.5
CNQ,54.869998931884766
EQIX,541.8599853515625
ETN,136.8300018310547
ITUB,5.559999942779541
APD,231.75
UBS,14.65999984741211
EW,84.2300033569336
KDP,36.5
LRCX,374.8399963378906
ICE,90.0199966430664
PSA,283.6700134277344
GM,33.619998931884766
EPD,24.989999771118164
NSC,214.57000732421875
NTES,78.0199966430664
SRE,147.02999877929688
TRI,102.04000091552734
AEP,82.98999786376953
PXD,256.8800048828125
SLB,42.59000015258789
F,12.199999809265137
ABB,25.010000228881836
MET,63.25
MCK,346.67999267578125
FIS,77.0999984741211
MRNA,119.31999969482422
PANW,169.91000366210938
GIS,75.3499984741211
MCO,245.4600067138672
SNPS,307.010009765625
VMW,109.80999755859375
HSY,220.52000427246094
MNST,90.29000091552734
RELX,24.920000076293945
ADM,85.44000244140625
MPC,106.83999633789062
ABEV,2.890000104904175
CNC,74.81999969482422
NTR,83.73999786376953
MAR,141.5
RSG,129.22999572753906
TRP,41.20000076293945
CDNS,158.89999389648438
BSBR,6.090000152587891
EMR,77.83000183105469
KLAC,314.1600036621094
ORLY,710.77001953125
CMG,1478.75
AIG,49.709999084472656
STZ,222.6999969482422
ECL,143.50999450683594
LHX,224.32000732421875
CTVA,60.83000183105469
KHC,33.029998779296875
PAYX,109.58999633789062
EXC,36.959999084472656
BCE,42.0
NGG,50.349998474121094
BIDU,120.44000244140625
MELI,881.989990234375
APH,70.16999816894531
AZO,2174.0
BBD,3.950000047683716
